Departamento,Dep,Municipio,Depmun,Superficie,Poblacion,Irural,Region,Tipo,Zona,denspobl
Santander,68,Guaca,68318,302.39826382,5900,51,Región Centro Oriente,Otro,Rural,19.510694028031605
Santander,68,Guadalupe,68320,146.33070938,4473,48,Región Centro Oriente,Otro,Rural,30.567746298449606
Santander,68,Guapotá,68322,67.30036397,2394,49,Región Centro Oriente,Otro,Rural,35.57187300008
Santander,68,Guavatá,68324,83.79545511,4200,45,Región Centro Oriente,Otro,Rural,50.12205010983679
Santander,68,Güepsa,68327,30.15674861,5222,38,Región Centro Oriente,Otro,Urbano,173.16190374277886
Santander,68,Hato,68344,169.01757229,2349,55,Región Centro Oriente,Otro,Rural,13.897963200948068
Santander,68,Jesús María,68368,89.59308517,3337,50,Región Centro Oriente,Otro,Rural,37.246178024432915
Santander,68,Jordán,68370,39.89917751,1325,49,Región Centro Oriente,Otro,Rural,33.20870460720432
Santander,68,La Belleza,68377,335.20158172,6174,52,Región Centro Oriente,Otro,Rural,18.418767501990057
Santander,68,Landázuri,68385,590.2163864,10482,51,Región Centro Oriente,Otro,Rural,17.759588248531216
Santander,68,La Paz,68397,284.34697209,4921,52,Región Centro Oriente,Otro,Rural,17.306321090144863
Santander,68,Lebríja,68406,550.43323732,43145,43,Región Centro Oriente,Otro,Rural,78.38371136537529
Santander,68,Los Santos,68418,290.12518836,14485,47,Región Centro Oriente,Otro,Rural,49.926723294450326
Santander,68,Macaravita,68425,102.91750817,2125,51,Región Centro Oriente,Otro,Rural,20.647604453169496
Santander,68,Málaga,68432,57.18169557,21339,31,Región Centro Oriente,Otro,Urbano,373.17886060019816
Santander,68,Matanza,68444,235.74856786,4999,44,Región Centro Oriente,Otro,Rural,21.204794775121055
Santander,68,Mogotes,68464,483.97012733,10576,51,Región Centro Oriente,Otro,Rural,21.85258841975725
Santander,68,Molagavita,68468,180.47170201,4105,49,Región Centro Oriente,Otro,Rural,22.745948280426482
Santander,68,Ocamonte,68498,75.22127909,5740,43,Región Centro Oriente,Otro,Rural,76.30819456197047
Santander,68,Oiba,68500,286.06674772,11004,47,Región Centro Oriente,Otro,Rural,38.46654701290425
Santander,68,Onzaga,68502,489.22843694,4111,57,Región Centro Oriente,Otro,Rural,8.403027480808891
Santander,68,Palmar,68522,19.69444169,1386,37,Región Centro Oriente,Otro,Urbano,70.37518614725452
Santander,68,Palmas Del Socorro,68524,58.54111972,2584,47,Región Centro Oriente,Otro,Rural,44.13991417245136
Santander,68,Páramo,68533,72.9811189,4773,45,Región Centro Oriente,Otro,Rural,65.40047716369007
Santander,68,Piedecuesta,68547,484.57230922,177586,32,Región Centro Oriente,Otro,Urbano,366.4798764210326
Santander,68,Pinchote,68549,55.53541904,5285,42,Región Centro Oriente,Otro,Rural,95.1644930633083
Santander,68,Puente Nacional,68572,251.67854824,14740,45,Región Centro Oriente,Otro,Rural,58.56677139580436
Santander,68,Puerto Parra,68573,762.34460068,7846,59,Región Centro Oriente,Otro,Rural,10.291933586204303
Santander,68,Puerto Wilches,68575,1507.9862462,33572,53,Región Centro Oriente,Otro,Rural,22.26280251865602
Santander,68,Rionegro,68615,1168.43222332,26746,51,Región Centro Oriente,Otro,Rural,22.890501876098156
Santander,68,Sabana De Torres,68655,1402.8700085,33887,55,Región Centro Oriente,Otro,Rural,24.155481117051764
Santander,68,San Andrés,68669,281.5588552,8613,48,Región Centro Oriente,Otro,Rural,30.59040708871301
Santander,68,San Benito,68673,59.11302218,2957,43,Región Centro Oriente,Otro,Rural,50.02281884685057
Santander,68,San Gil,68679,146.87727411,58032,31,Región Centro Oriente,Otro,Urbano,395.1053718258579
Santander,68,San Joaquín,68682,143.13342696,2215,53,Región Centro Oriente,Otro,Rural,15.47507138649732
Santander,68,San José De Miranda,68684,75.30374323,4313,44,Región Centro Oriente,Otro,Rural,57.27470926414398
Santander,68,San Miguel,68686,71.21134788,2494,48,Región Centro Oriente,Otro,Rural,35.0225079885119
Santander,68,San Vicente De Chucurí,68689,1116.36060506,33414,49,Región Centro Oriente,Otro,Rural,29.931188765124986
Santander,68,Santa Bárbara,68705,221.21709441,2425,55,Región Centro Oriente,Otro,Rural,10.962082322198603
Santander,68,Santa Helena Del Opón,68720,373.85726248,3393,57,Región Centro Oriente,Otro,Rural,9.075656247767858
Santander,68,Simacota,68745,904.71295485,10138,58,Región Centro Oriente,Otro,Rural,11.205764154975393
Santander,68,Socorro,68755,127.8258349,32965,34,Región Centro Oriente,Otro,Urbano,257.8899643079898
Santander,68,Suaita,68770,285.19553397,10086,48,Región Centro Oriente,Otro,Rural,35.365210175629734
Santander,68,Sucre,68773,522.53920084,7103,54,Región Centro Oriente,Otro,Rural,13.593238533265406
Santander,68,Suratá,68780,363.00877434,3977,58,Región Centro Oriente,Otro,Rural,10.955658047744809
Santander,68,Tona,68820,330.72628373,7562,52,Región Centro Oriente,Otro,Rural,22.864829231938227
Santander,68,Valle De San José,68855,81.11493889,6222,43,Región Centro Oriente,Otro,Rural,76.70596914876131
Santander,68,Vélez,68861,447.6767281,24843,47,Región Centro Oriente,Otro,Rural,55.49316826326224
Santander,68,Vetas,68867,92.42238639,2142,50,Región Centro Oriente,Otro,Rural,23.176203122058336
Santander,68,Villanueva,68872,97.60691327,7927,42,Región Centro Oriente,Otro,Rural,81.21350972417652
Santander,68,Zapatoca,68895,364.4185511,9507,49,Región Centro Oriente,Otro,Rural,26.08813401870748
Sucre,70,Sincelejo,70001,279.97294538,286635,23,Región Caribe,Capital,Urbano,1023.7953514078218
